Date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2021-02-01,239.65,242.5,232.43,235.06,33314193,236.0883547536,238.8959984467,228.9756573978,231.5665707005,33314193,0.0,1.0
2021-02-02,239.51,242.31,238.69,241.3,25678356,235.9504354143,238.7088222005,235.1426221412,237.7138326812,25678356,0.0,1.0
2021-02-03,243.0,245.09,239.26,239.57,27158104,239.3885675157,241.4475062239,235.7041508798,236.0095437026,27158104,0.0,1.0
2021-02-04,242.01,243.2399,240.37,242.66,25296100,238.4132807591,239.624902155,236.7976542129,239.0536205488,25296100,0.0,1.0
2021-02-05,242.2,243.28,240.42,242.23,18054752,238.6004570053,239.6644061943,236.8469111198,238.6300111495,18054752,0.0,1.0
2021-02-08,242.47,243.68,240.81,243.15,22211929,238.8664443026,240.0584614495,237.2311149936,239.5363382364,22211929,0.0,1.0
2021-02-09,243.77,244.76,241.38,241.87,23471475,240.1471238819,241.1224106384,237.7926437322,238.2753614198,23471475,0.0,1.0
2021-02-10,242.82,245.92,240.89,245.0,22117240,239.2112426508,242.2651708784,237.3099260446,241.3588437915,22117240,0.0,1.0
2021-02-11,244.49,245.15,242.15,244.78,15751059,240.8564233412,241.5066145122,238.5512000984,241.1421134012,15751059,0.0,1.0
2021-02-12,244.99,245.3,242.73,243.9332,16561079,241.3489924101,241.6543852329,239.1225802184,240.307898426,16561079,0.0,1.0
2021-02-16,243.7,246.13,242.92,245.03,26728487,240.0781642122,242.4720498874,239.3097564646,241.3883979357,26728487,0.0,1.0
2021-02-17,244.2,244.31,240.94,241.32,21451617,241.1224106384,241.2310243369,237.9034955742,238.2787065326,21451617,0.56,1.0
2021-02-18,243.79,243.93,240.86,241.8,16925563,240.7175777622,240.8558133785,237.8245037935,238.7526572169,16925563,0.0,1.0
2021-02-19,240.97,243.86,240.18,243.75,25262600,237.933117492,240.7866955704,237.1530736574,240.6780818719,25262600,0.0,1.0
2021-02-22,234.51,237.93,232.4,237.42,36182764,231.5545311991,234.9314298247,229.4711229827,234.4278572227,36182764,0.0,1.0
2021-02-23,233.27,234.83,228.73,230.325,30228704,230.330158598,231.8704983219,225.8473750423,227.4222736703,30228704,0.0,1.0
2021-02-24,234.55,235.2,229.0,230.01,26339746,231.5940270894,232.2358353078,226.1139723022,227.1112435337,26339746,0.0,1.0
2021-02-25,228.99,234.5852,227.88,232.08,39118089,226.1040983296,231.628783473,225.0080873722,229.1551558598,39118089,0.0,1.0
2021-02-26,232.38,235.37,229.54,231.525,37545055,229.4513750375,232.4036928418,226.647166822,228.6071503811,37545055,0.0,1.0
2021-03-01,236.94,237.47,233.15,235.9,25332837,233.9539065384,234.4772270856,230.2116709269,232.927013389,25332837,0.0,1.0
2021-03-02,233.87,237.3,233.45,237.01,22812459,230.9225969533,234.3093695516,230.5078901046,234.0230243465,22812459,0.0,1.0
2021-03-03,227.56,233.5799,227.26,232.155,34029526,224.6921202493,230.6361530085,224.3959010716,229.2292106542,34029526,0.0,1.0
2021-03-04,226.73,232.49,224.26,226.735,44727785,223.8725805244,229.559988736,221.4337092947,223.8775175106,44727785,0.0,1.0
2021-03-05,231.6,233.27,226.46,229.5165,41872770,228.6812051755,230.330158598,223.6059832644,226.6239629865,41872770,0.0,1.0
2021-03-08,227.39,233.365,227.13,231.37,35267440,224.5242627153,230.4239613376,224.2675394279,228.4541038059,35267440,0.0,1.0
2021-03-09,233.78,235.3839,231.67,232.88,33080531,230.8337312,232.4174176637,228.7503229836,229.945073667,33080531,0.0,1.0
2021-03-10,232.42,237.0,232.04,237.0,29746812,229.4908709278,234.0131503739,229.1156599694,234.0131503739,29746812,0.0,1.0
2021-03-11,237.13,239.17,234.31,234.96,29907586,234.1415120176,236.1558024258,231.3570517473,231.9988599656,29907586,0.0,1.0
2021-03-12,235.75,235.82,233.23,234.01,22653662,232.7789038002,232.8480216083,230.2906627076,231.0608325696,22653662,0.0,1.0
