Date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2021-03-30,119.9,120.4031,118.86,120.11,85671919,118.8528006749,119.35150663,117.8218839718,119.0609665477,85671919,0.0,1.0
2021-03-31,122.15,123.52,121.15,121.65,118323826,121.0831493114,122.4411838146,120.0918832508,120.5875162811,118323826,0.0,1.0
2021-04-01,123.0,124.18,122.49,123.66,75089134,121.925725463,123.0954194146,121.4201797721,122.5799610631,75089134,0.0,1.0
2021-04-05,125.9,126.1601,123.07,123.87,88651175,124.800397039,125.0582253413,121.9951140873,122.7881269358,88651175,0.0,1.0
2021-04-06,126.21,127.13,125.65,126.5,80171253,125.1076895178,126.0196542936,124.5525805238,125.3951566754,80171253,0.0,1.0
2021-04-07,127.9,127.92,125.14,125.83,83466716,126.7829291603,126.8027544815,124.0470348329,124.7310084147,83466716,0.0,1.0
2021-04-08,130.36,130.39,128.52,128.95,88844591,129.2214436696,129.2511816514,127.3975141179,127.823758524,88844591,0.0,1.0
2021-04-09,132.995,133.04,129.47,129.8,106686703,131.8334297395,131.8780367122,128.3392168756,128.6663346756,106686703,0.0,1.0
2021-04-12,131.24,132.85,130.63,132.52,91419983,130.093757803,131.6896961607,129.489085506,131.3625783606,91419983,0.0,1.0
2021-04-13,134.43,134.66,131.93,132.44,91266545,133.2558965365,133.4838877305,130.7777313848,131.2832770758,91266545,0.0,1.0
2021-04-14,132.03,135.0,131.655,134.94,87222782,130.8768579909,133.8209181911,130.5051332181,133.7614422275,87222782,0.0,1.0
2021-04-15,134.5,135.0,133.64,133.82,89347102,133.3252851608,133.8209181911,132.4727963486,132.6512242395,89347102,0.0,1.0
2021-04-16,134.16,134.67,133.28,134.3,84922386,132.9882547001,133.4938003911,132.1159405667,133.1270319486,84922386,0.0,1.0
2021-04-19,134.84,135.47,133.34,133.51,94264215,133.6623156214,134.2868132396,132.1754165304,132.3439317607,94264215,0.0,1.0
2021-04-20,133.11,135.53,131.81,135.02,94812349,131.9474253364,134.3462892033,130.6587794576,133.8407435123,94812349,0.0,1.0
2021-04-21,133.5,133.75,131.3001,132.36,68847136,132.3340191001,132.5818356153,130.1533328932,131.2039757909,68847136,0.0,1.0
2021-04-22,131.94,134.15,131.41,133.04,84566456,130.7876440454,132.9783420395,130.2622730333,131.8780367122,84566456,0.0,1.0
2021-04-23,134.32,135.12,132.16,132.16,78756779,133.1468572698,133.9398701184,131.0057225788,131.0057225788,78756779,0.0,1.0
2021-04-26,134.72,135.06,133.56,134.83,66905069,133.5433636941,133.8803941547,132.3934950637,133.6524029608,66905069,0.0,1.0
2021-04-27,134.39,135.41,134.11,135.01,66015804,133.2162458941,134.227337276,132.9386913971,133.8308308517,66015804,0.0,1.0
2021-04-28,133.58,135.02,133.08,134.31,107760097,132.4133203849,133.8407435123,131.9176873546,133.1369446092,107760097,0.0,1.0
2021-04-29,133.48,137.07,132.45,136.47,151100953,132.3141937789,135.8728389367,131.2931897364,135.2780793003,151100953,0.0,1.0
2021-04-30,131.46,133.56,131.065,131.78,109839466,130.3118363363,132.3934950637,129.9202862424,130.6290414757,109839466,0.0,1.0
